Name	Pitch	Cost	Power	Defense	Types	Card Keywords	Ability and Effect Keywords	Class
Emerging Avalanche	1, 2, 3	2		3	Elemental, Action, Aura	Ice Fusion, Go again		Guardian
Emerging Dominance	1, 2, 3	2		3	Action, Aura			Guardian
Emerging Power	1, 2, 3	2		3	Action, Aura	Go again		Guardian
Emeritus Scolding	1, 2, 3	2		3	Action			Wizard
Emissary of Moon	1	0	4	2	Action, Attack			Generic
Emissary of Tides	1	0	4	2	Action, Attack			Generic
Emissary of Wind	1	0	4	2	Action, Attack	Go again		Generic
En Garde	1	1		3	Action	Go again		Warrior
Enact Vengeance	1	2	6	3	Action, Attack	Combo		Ninja
Encase	1	0		3	Elemental, Action	Ice Fusion		Wizard
Enchanting Melody	1, 2, 3	2		2	Action, Aura	Go again		Generic
Encore	2	1		2	Bard, Action	Go again		
Endless Arrow	1	0	4	3	Action, Arrow, Attack			Ranger
Endless Maw	1, 2, 3	3	4, 5, 6	3	Shadow, Action, Attack	Blood Debt		Brute
Endless Winter	1	4	8	3	Elemental, Action, Attack	Oldhim Specialization, Ice Fusion		Guardian
Energy Potion	3	0			Action, Item			Generic
Engaged Swiftblade	1, 2, 3	1		3	Action	Go again		Warrior
Engulfing Flamewave	1, 2, 3	2	3, 4, 5	2	Draconic, Action, Attack	Go again		Ninja
Engulfing Light	1, 2, 3	0	1, 2, 3	3	Light, Action, Attack	Charge		Warrior
Enigma Chimera	1, 2, 3	2	6, 7, 8	3	Action, Attack	Phantasm		Illusionist
Enlightened Strike	1	0	5	3	Action, Attack	Go again		Generic
Entangle	1, 2, 3	3	5, 6, 7	3	Elemental, Action, Attack	Earth Fusion		Guardian
Entwine Earth	1, 2, 3	2	4, 5, 6	2	Elemental, Action, Attack	Earth Fusion		
Entwine Ice	1, 2, 3	1	3, 4, 5	2	Elemental, Action, Attack	Ice Fusion, Dominate		
Entwine Lightning	1, 2, 3	0	2, 3, 4	2	Elemental, Action, Attack	Lightning Fusion, Go again		
Envelop in Darkness	1, 2, 3	1		2	Shadow, Action	Go again		Runeblade
Eradicate	2	1	4	3	Action, Attack	Contract		Assassin
Erase Face	1	2	6	2	Action, Attack			Generic
Essence of Ancestry: Body	1	0		3	Action, Aura	Ward 2		Illusionist
Essence of Ancestry: Mind	3	0		3	Action, Aura	Ward 2		Illusionist
Essence of Ancestry: Soul	2	0		3	Action, Aura	Ward 2		Illusionist
Etchings of Arcana	1, 2, 3	0		3	Action	Surge		Wizard
Eternal Inferno	1	1		3	Action	Surge		Wizard
Evasive Leap	1, 2, 3	0		1, 2, 3	Defense Reaction			Generic
Even Bigger Than That!	1, 2, 3	0			Instant	Opt 3		Generic
Evergreen	1, 2, 3	3	5, 6, 7	2	Earth, Action, Attack			
Expedite	1, 2, 3	0	1, 2, 3	3	Action, Attack	Boost		Mechanologist
Expendable Limbs	3	0		4	Shadow, Defense Reaction			Brute
Exploding Aether	1, 2, 3	2		2	Action	Amp 3, Go again		Wizard
Explosive Growth	1, 2, 3	1	1, 2, 3	3	Elemental, Action, Attack	Earth Fusion		Runeblade
Exposed to the Elements	3	2			Elemental, Instant	Earth and/or Ice Fusion		
Express Lightning	1, 2, 3	0	2, 3, 4	3	Light, Action, Attack	Charge		Warrior
Exude Confidence	1	0	4	2	Action, Attack			Generic
Eye of Ophidia	3				Resource, Gem	Legendary, Opt 2		Generic
Fabric of Blossoms	3	0		2	Action, Construct	Negate		Generic
Fabric of Hope	1	0		2	Action, Construct	Negate		Generic
Fabric of Providence	1	0		2	Action, Construct	Legendary, Negate		Generic
Fabric of Scales	3	0		2	Action, Construct	Negate		Generic
Fabric of Spring	2	0		2	Action, Construct	Legendary, Negate		Generic
Fabricate	1	0			Instant			Mechanologist
Fact-Finding Mission	1, 2, 3	2	4, 5, 6	2	Action, Attack			Generic
Falcon Wing	1, 2, 3	0	1, 2, 3	3	Action, Arrow, Attack	Go again		Ranger
Fang Strike		0			Attack Reaction	Ephemeral		Mystic, Assassin
Fast and Furious	1	0	3	3	Action, Attack	Boost		Mechanologist
Fatal Engagement	1, 2, 3	2		3	Attack Reaction			Warrior
Fate Foreseen	1, 2, 3	0		2, 3, 4	Defense Reaction	Opt 1		Generic
Fatigue Shot	1, 2, 3	1	3, 4, 5	3	Action, Arrow, Attack			Ranger
Feign Death	2	1			Instant			Ranger
Feisty Locals	1, 2, 3	0	1, 2, 3	2	Action, Attack			Generic
Felling Swing	1, 2, 3	3		3	Action	Go again		Warrior
Felling of the Crown	1	3	4	3	Earth, Action, Attack	Decompose		
Fender Bender	1, 2, 3	1	2, 3, 4	3	Action, Attack	Boost		Mechanologist
Fertile Ground	1, 2, 3	2			Earth, Instant			
Fervent Forerunner	1, 2, 3	0	1, 2, 3	2	Action, Attack	Opt 2, Go again		Generic
Figment of Erudition	2	4			Light, Instant, Figment	Legendary		Illusionist
Figment of Judgment	2	4			Light, Instant, Figment	Legendary		Illusionist
Figment of Protection	2	4			Light, Instant, Figment	Legendary		Illusionist
Figment of Ravages	2	4			Light, Instant, Figment	Legendary		Illusionist
Figment of Rebirth	2	4			Light, Instant, Figment	Legendary		Illusionist
Figment of Tenacity	2	4			Light, Instant, Figment	Legendary		Illusionist
Figment of Triumph	2	4			Light, Instant, Figment	Legendary		Illusionist
Figment of War	2	4			Light, Instant, Figment	Legendary		Illusionist
Final Act	1	1	1	3	Bard, Action, Attack			
Find Center	3	0	2	3	Action, Attack	Combo		Ninja
Firebreathing	1	2	3	3	Action, Attack			Generic
Firewall	1, 2, 3			2, 3, 4	Block			Mechanologist
First Tenet of Chi: Moon	3	0		3	Action	Go again		Mystic
First Tenet of Chi: Tide	3	0		3	Action	Go again		Mystic
First Tenet of Chi: Wind	3	0		3	Action	Go again		Mystic
Flake Out	1, 2, 3	1	3, 4, 5	3	Elemental, Action, Arrow, Attack	Ice Fusion, Dominate		Ranger
Flameborn Retribution	1	1	3	2	Draconic, Action, Attack	Go again		
Flamecall Awakening	1	1	3	2	Draconic, Action, Attack	Go again		
Flash	1, 2, 3	0		2	Lightning, Action	Go again		
Flashfreeze	1	1		2	Elemental, Action	Ice and/or Lightning Fusion, Go again		
Fleece the Frail	1, 2, 3	0	2, 3, 4	3	Action, Attack	Contract		Assassin
Fletch a Blue Tail	3	1		2	Action	Go again		Ranger
Fletch a Red Tail	1	1		2	Action	Go again		Ranger
Fletch a Yellow Tail	2	1		2	Action	Go again		Ranger
Flex	1, 2, 3	0	2, 3, 4	2	Action, Attack			Generic
Flex Claws	1, 2, 3	1	2, 3, 4	2	Action, Attack	Go again		Ninja
Flic Flak	1, 2, 3	0		2, 3, 4	Defense Reaction			Ninja
Flicker Trick	1	0		5	Defense Reaction	Mirage		Illusionist
Flicker Wisp	2	0		2	Elemental, Action	Lightning Fusion, Go again		Runeblade
Flittering Charge	1, 2, 3	0	2, 3, 4	2	Lightning, Action, Attack	Go again		
Flock of the Feather Walkers	1, 2, 3	1	3, 4, 5	2	Action, Attack			Generic
Flood of Force	2	0	1	3	Action, Attack	Combo, Go again		Ninja
Flourish	2, 3	0		2	Earth, Action	Go again		
Fluster Fist	1, 2, 3	0	2, 3, 4	3	Action, Attack	Combo		Ninja
Flying Kick	1, 2, 3	2	3, 4, 5	3	Action, Attack			Ninja
Fog Down	2	3		3	Action, Aura			Generic
Force Sight	1, 2, 3	1		2	Action	Opt 2, Go again		Generic
Force of Nature	3	0		3	Elemental, Action	Briar Specialization, Earth Fusion, Go again		Runeblade
Foreboding Bolt	1, 2, 3	1		3	Action	Opt 1		Wizard
Forged for War	2	2		3	Action, Aura	Go again		Guardian
Forked Lightning	1	3		3	Action			Wizard
Fractal Replication	1	0	*	*	Action, Attack			Illusionist
Frailty Trap	1	0		3	Defense Reaction, Trap			Assassin, Ranger
Frazzle	1, 2, 3	1	3, 4, 5	3	Elemental, Action, Arrow, Attack	Lightning Fusion		Ranger
Freewheeling Renegades	1, 2, 3	1	4, 5, 6	2	Action, Attack			Generic
Freezing Point	1	3		3	Elemental, Action	Ice Fusion		Wizard
Frightmare	1	3	13		Action, Attack	Phantasm		Illusionist
Frontline Scout	1, 2, 3	0	1, 2, 3	2	Action, Attack	Go again		Generic
Frost Fang	1, 2, 3	2	3, 4, 5	2	Ice, Action, Attack			
Frost Hex	3	3		3	Ice, Action, Affliction, Aura	Iyslander Specialization		Wizard
Frost Lock	3	1	3	3	Elemental, Action, Arrow, Attack	Ice Fusion		Ranger
Frosting	1, 2, 3	0		3	Ice, Action			Wizard
Frozen to Death	3	3		3	Ice, Action	Ice Fusion		Guardian
Fruits of the Forest	1, 2, 3	3	5, 6, 7	2	Earth, Action, Attack			
Fry	1, 2, 3	0	1, 2, 3	0	Lightning, Action, Attack	Go again		
Fuel Injector	3	0			Action, Item			Mechanologist
Full Tilt	1, 2, 3	2	3, 4, 5	3	Action, Attack	Boost		Mechanologist
Fulminate	2	2		2	Elemental, Action	Earth and/or Lightning Fusion, Go again		
Funeral Moon	1	0		3	Shadow, Action	Blood Debt		Runeblade
Fyendal's Fighting Spirit	1, 2, 3	3	5, 6, 7	2	Action, Attack			Generic
Gas Guzzler	1, 2, 3	3	4, 5, 6	3	Action, Attack	Boost		Mechanologist
Gas Up	1, 2, 3	1		2	Action	Go again		Mechanologist
Gaze the Ages	3	0		3	Action	Opt 2		Wizard
Genesis	2	4			Light, Instant, Aura	Spectra		Illusionist
Germinate	3	XX		3	Earth, Action	Florian Specialization		Runeblade
Ghostly Visit	1, 2, 3	1	2, 3, 4	3	Shadow, Action, Attack	Blood Debt		
Gigawatt	1, 2, 3	1		2	Action	Go again		Mechanologist
Give and Take	1	1	3	3	Action, Attack	Go again		Generic
Glacial Footsteps	1, 2, 3	6	10, 8, 9	3	Elemental, Action, Attack	Ice Fusion, Dominate		Guardian
Glaring Impact	1, 2, 3	1	2, 3, 4	3	Light, Action, Attack	Charge, Overpower		Warrior
Glint the Quicksilver	3	0		3	Attack Reaction	Reprise		Warrior
Glisten	1, 2, 3	2			Light, Instant			
Glistening Steelblade	2	1		3	Action	Dorinthea Specialization, Go again		Warrior
Glyph Overlay	1, 2, 3	1		3	Action	Surge		Wizard
Go Bananas	2	0			Instant			Generic
Goblet of Bloodrun Wine	3	0		2	Action	Go again		Warrior
Gone in a Flash	1	0	4	3	Lightning, Action, Attack			
Good Deeds Don't Go Unnoticed	2	0		3	Action, Aura			Generic
Gore Belching	1	0	7		Action, Attack			Generic
Gorganian Tome		0			Action	Legendary, Go again		Generic
Gorgon's Gaze	2	2		3	Attack Reaction			Mystic, Assassin
Grandeur of Valahai	3				Resource, Gem	Legendary		Guardian
Gravekeeping	1, 2, 3	1	3, 4, 5	2	Action, Attack			Generic
Graveling Growl	1, 2, 3	1	5, 6, 7	3	Shadow, Action, Attack	Blood Debt		Brute
Great Library of Solana		2			Light, Action, Landmark	Legendary	Go again	
Grim Feast	1, 2, 3	3		2	Shadow, Action	Blood Debt		
Grinding Gears	3	0			Action, Item	Crank		Mechanologist
Growl	1, 2	0	2, 3	2	Action, Attack	Go again		Ninja
Guardian of the Shadowrealm	1	2		6	Shadow, Defense Reaction	Blood Debt		
Gustwave of the Second Wind	1	0	4	3	Action, Attack	Combo, Go again		Ninja
Hack to Reality	2	1		2	Action	Go again		Generic
Hadron Collider	1, 2, 3	1			Action, Item	Crank		Mechanologist
Hala Goldenhelm				3	Mentor			Warrior
Hamstring Shot	1, 2, 3	1	3, 4, 5	3	Action, Arrow, Attack			Ranger
Hand Behind the Pen	1	2	6	2	Action, Attack			Generic
Harmony of the Hunt	1, 2, 3	1	1, 2, 3	2	Action, Attack	Go again		Mystic, Ninja
Harness Lightning	1, 2	0		2	Elemental, Action	Lightning Flow		Runeblade
Harvest Season	1, 2, 3	1		2	Earth, Action, Aura	Go again		
Haunting Rendition	1			4	Block			Runeblade
Haunting Specter	1, 2, 3	2		2	Action, Aura	Ward 4		Illusionist
Haze Bending	3	0		2	Action, Aura	Spectra		Illusionist
Haze Shelter	1, 2, 3	2			Instant, Aura	Ward X		Mystic, Illusionist
Head Jab	1, 2, 3	0	1, 2, 3	2	Action, Attack	Go again		Ninja
Head Leads the Tail	1	1	3	2	Action, Attack	Go again		Ninja
Head Shot	1, 2, 3	1	2, 3, 4	3	Action, Arrow, Attack			Ranger
Healing Balm	1, 2, 3	0		2	Action			Generic
Healing Potion	3	0			Action, Item		Go again	Generic
Heart of Fyendal	3				Resource, Gem	Legendary		Generic
Heartbeat of Candlehold	3	1		3	Earth, Action	Verdance Specialization, Go again		Wizard
Hearty Block	1			3	Block			Guardian, Warrior
Heat Seeker	1	1	5	3	Action, Arrow, Attack			Ranger
Heaven's Claws	1, 2, 3	1	3, 4, 5	3	Lightning, Action, Attack			
Heavy Artillery	1, 2, 3	3	4, 5, 6	3	Action, Attack	Evo Upgrade		Mechanologist
Heist	1	2	5	3	Action, Attack	Boost		Mechanologist
Hemorrhage Bore	1, 2, 3	1	3, 4, 5	3	Action, Arrow, Attack			Ranger
Herald of Erudition	2	2	5	3	Light, Action, Attack	Dominate, Phantasm		Illusionist
Herald of Judgment	2	2	6	3	Light, Action, Attack	Prism Specialization, Phantasm		Illusionist
Herald of Protection	1, 2, 3	2	5, 6, 7	3	Light, Action, Attack	Phantasm		Illusionist
Herald of Ravages	1, 2, 3	2	5, 6, 7	3	Light, Action, Attack	Phantasm		Illusionist
Herald of Rebirth	1, 2, 3	2	5, 6, 7	3	Light, Action, Attack	Phantasm		Illusionist
Herald of Tenacity	1, 2, 3	2	4, 5, 6	3	Light, Action, Attack	Dominate, Phantasm		Illusionist
Herald of Triumph	1, 2, 3	2	5, 6, 7	3	Light, Action, Attack	Phantasm		Illusionist
Heron's Flight	1	0	3	3	Action, Attack	Combo		Ninja
High Octane	1	1		3	Action	Go again		Mechanologist
High Roller	1, 2, 3	0		3	Action	Intimidate, Go again		Brute
High Speed Impact	1, 2, 3	1	2, 3, 4	3	Action, Attack	Boost		Mechanologist
High Striker	1, 2, 3	0		2	Action	Go again		Generic
High Voltage	3	0			Lightning, Instant	Amp 1		
Hiss	1, 2, 3	1		3	Attack Reaction			Mystic, Assassin
Hit and Run	1, 2, 3	0		3	Action	Go again		Warrior
Hit the High Notes	1, 2, 3	1	2, 3, 4	3	Action, Attack			Runeblade
Hocus Pocus	1, 2, 3	0	1, 2, 3	3	Action, Attack			Runeblade
Hold 'em	1, 2, 3	1		3	Action	Go again		Warrior
Hold the Line	3	0		2	Defense Reaction			Generic
Homage to Ancestors	3	0			Instant	Legendary, Transcend		Mystic
Howl from Beyond	1, 2, 3	2		2	Shadow, Action	Go again, Blood Debt		
Humble	1, 2, 3	2	4, 5, 6	2	Action, Attack			Generic
Hundred Winds	1, 2, 3	0	1, 2, 3	2	Action, Attack	Combo, Go again		Ninja
Hungering Demigon	1, 2, 3	2	4, 5, 6	3	Shadow, Action, Attack	Blood Debt		
Hungering Slaughterbeast	1, 2, 3	2	5, 6, 7	3	Shadow, Action, Attack	Blood Debt		Brute
Hurl	1, 2, 3	0	1, 2, 3	2	Action, Attack	Go again		Assassin, Ninja
Hurricane Technique	2	1	4	3	Action, Attack	Combo, Go again		Ninja
Hydraulic Press	1, 2, 3	3	4, 5, 6	3	Action, Attack	Scrap, Overpower		Mechanologist
Hyper Driver	1, 2, 3	1			Action, Item			Mechanologist
Hyper Scrapper	3	X	2	3	Action, Attack	Go Again		Mechanologist
Hypothermia	3	0		2	Ice, Action, Affliction, Aura			
Ice Bolt	1, 2, 3	2		3	Ice, Action			Wizard
Ice Eternal	3	XX		3	Elemental, Action	Iyslander Specialization, Ice Fusion		Wizard
Ice Quake	1, 2, 3	1		2	Ice, Action	Go again		
Ice Storm	1	0		2	Elemental, Action	Ice and Lightning Fusion, Go again		Ranger
Icebind	1, 2, 3	0		3	Elemental, Action	Ice Fusion		Wizard
Icy Encounter	1, 2, 3	2	4, 5, 6	2	Ice, Action, Attack			
Illuminate	1, 2, 3	0	2, 3, 4	3	Light, Action, Attack			
Immobilizing Shot	1	0	4	3	Action, Arrow, Attack			Ranger
Impenetrable Belief	1, 2, 3	2	3, 4, 5	2	Light, Action, Attack			
Imperial Edict	1	1			Action, Item	Legendary	Go again	Generic
Imperial Ledger	1	0			Action, Item	Legendary		Generic
Imperial Warhorn	1	2			Action, Item	Legendary		Generic
Imposing Visage	3	X3		3	Action	Go again		Guardian
Impulsive Desire	1, 2, 3	0	1, 2, 3	3	Action, Attack	Stealth		Assassin
In the Swing	1, 2, 3	0		3	Attack Reaction			Warrior
Increase the Tension	1, 2, 3	1		2	Action	Go again		Ranger
Index	1, 2, 3	0		2	Action			Wizard
Induction Chamber	1	2			Action, Item		Go again	Mechanologist
Inertia Trap	1	0		3	Defense Reaction, Trap			Assassin, Ranger
Infect	1, 2, 3	0	1, 2, 3	3	Action, Attack	Stealth		Assassin
Infecting Shot	1, 2, 3	1	3, 4, 5	3	Action, Arrow, Attack			Ranger
Infectious Host	1, 2, 3	0	2, 3, 4	2	Action, Attack			Generic
Infiltrate	1	0	3	3	Action, Attack	Stealth		Assassin
Inflame	1	0	1	2	Draconic, Action, Attack	Go again		
Infuse Alloy	1, 2, 3	0	2, 3, 4	2	Action, Attack	Galvanize		Mechanologist
Infuse Titanium	1, 2, 3	3	5, 6, 7	2	Action, Attack	Galvanize		Mechanologist
Inner Chi	3				Resource, Chi			Mystic
Insidious Chill	3	3		2	Ice, Action, Aura			
Inspire Lightning	1, 2, 3	1		2	Elemental, Action	Lightning Fusion		Runeblade
Intellect Penalty					Macro			
Interlude	1, 2, 3	0			Bard, Instant			
Intimate Inducement	1, 2, 3	0		3	Attack Reaction			Mystic, Assassin
Intoxicating Shot	3	0	4	3	Action, Arrow, Attack	Riptide Specialization		Ranger
Invert Existence	3	1			Shadow, Instant	Blood Debt		Runeblade
Invigorate	1, 2, 3	0		2	Elemental, Action	Go again		
Invigorating Light	1, 2, 3	3	4, 5, 6	2	Light, Action, Attack			
Invoke Azvolai	1	0		3	Draconic, Action, Invocation	Transform, Go again		Illusionist
Invoke Cromai	1	0		3	Draconic, Action, Invocation	Transform, Go again		Illusionist
Invoke Dominia	1	4		3	Draconic, Action, Invocation	Legendary, Transform, Go again		Illusionist
Invoke Dracona Optimai	1	6		3	Draconic, Action, Invocation	Legendary, Transform, Go again		Illusionist
Invoke Kyloria	1	1		3	Draconic, Action, Invocation	Transform, Go again		Illusionist
Invoke Miragai	1	1		3	Draconic, Action, Invocation	Transform, Go again		Illusionist
Invoke Nekria	1	3		3	Draconic, Action, Invocation	Transform, Go again		Illusionist
Invoke Ouvia	1	2		3	Draconic, Action, Invocation	Transform, Go again		Illusionist
Invoke Suraya	2	2		3	Light, Action, Invocation	Legendary, Transform, Go again		Illusionist
Invoke Themai	1	2		3	Draconic, Action, Invocation	Transform, Go again		Illusionist
Invoke Tomeltai	1	5		3	Draconic, Action, Invocation	Legendary, Transform, Go again		Illusionist
Invoke Vynserakai	1	3		3	Draconic, Action, Invocation	Transform, Go again		Illusionist
Invoke Yendurai	1	1		3	Draconic, Action, Invocation	Transform, Go again		Illusionist
Ironsong Determination	2	0		3	Action	Go again		Warrior
Ironsong Pride	1	1			Instant, Aura			Warrior
Ironsong Response	1, 2, 3	0		3	Attack Reaction	Reprise		Warrior
Isenhowl Weathervane	1, 2, 3	1		2	Ice, Action	Go again		
Isolate	1, 2, 3	0	1, 2, 3	3	Action, Attack	Stealth, Dominate		Assassin
Jack-o'-lantern	1, 2, 3	0		2	Shadow, Action	Go again		Runeblade
Judge, Jury, Executioner	1	1	5	3	Action, Arrow, Attack	Legendary, Azalea Specialization		Ranger
Jump Start	1, 2, 3	2	3, 4, 5	3	Action, Attack	Boost		Mechanologist
Junkyard Dogg	1, 2, 3	3	4, 5, 6	3	Action, Attack	Scrap		Mechanologist
Just a Nick	1	0		3	Attack Reaction			Assassin
Kindle	1	0			Instant	Amp 1		Wizard
Knick Knack Bric-a-brac	1	3		2	Action			Generic
Knives Out	3	0		3	Attack Reaction			Assassin, Ninja
Korshem, Crossroad of Elements		1			Elemental, Action, Landmark	Legendary, Go again		
Kyloria			4		Draconic, Dragon, Ally			Illusionist
Lace with Bloodrot	1	0		2	Action	Go again		Ranger
Lace with Frailty	1	0		2	Action	Go again		Ranger
Lace with Inertia	1	0		2	Action	Go again		Ranger
Lady Barthimont				3	Mentor			Brute
Last Ditch Effort	3	3	4	3	Action, Attack	Go again		Generic
Lava Burst	1	0	2	3	Draconic, Action, Attack	Rupture		
Lava Vein Loyalty	1, 2, 3	0	1, 2, 3	3	Draconic, Action, Attack	Go again		Ninja
Lay Down the Law	1	3	7	3	Action, Attack	Tower		Guardian
Lay Waste	1, 2, 3	2	3, 4, 5	3	Action, Attack	Boost		Mechanologist
Lay to Rest	1, 2, 3	1	3, 4, 5	3	Light, Action, Attack			
Lead the Charge	1, 2, 3	0		2	Action	Go again		Generic
Lead with Heart	1, 2, 3	1		2	Action	Go again		Guardian, Warrior
Lead with Power	1, 2, 3	1		2	Action	Go again		Brute, Guardian
Lead with Speed	1, 2, 3	1		2	Action	Go again		Brute, Warrior
Leave No Witnesses	1	0	4	3	Action, Attack	Contract		Assassin
Leg Tap	1, 2, 3	1	2, 3, 4	2	Action, Attack	Go again		Ninja
Lesson in Lava	2	1		3	Action	Kano Specialization		Wizard
Levels of Enlightenment	3	1	3	3	Action, Attack	Go again		Mystic
Life for a Life	1, 2, 3	1	2, 3, 4	2	Action, Attack	Go again		Generic
Life of the Party	1, 2, 3	2	2, 3, 4	2	Action, Attack	Go again		Generic
Light it Up	2	1	4	3	Elemental, Action, Arrow, Attack	Lexi Specialization, Lightning Fusion		Ranger
Light of Sol	2				Light, Resource, Gem	Legendary		
Light the Way	1, 2, 3	0	1, 2, 3	3	Light, Action, Attack	Charge, Go again		Warrior
Lightning Form	1, 2, 3	1	3, 4, 5	2	Lightning, Action, Attack			
Lightning Press	1, 2, 3	0			Lightning, Instant			
Lightning Surge	1, 2, 3	0	2, 3, 4	2	Lightning, Action, Attack	Go again		
Line It Up	2	1		3	Action	Go again		Ranger
Liquefy	1	1		2	Draconic, Attack Reaction	Rupture		
Liquid-Cooled Mayhem	1, 2, 3	4	4, 5, 6	3	Action, Attack	Evo Upgrade		Mechanologist
Locked and Loaded	1, 2, 3	0		3	Action	Opt 1, Go again		Mechanologist
Log Fall	1, 2	3	4, 5	3	Elemental, Action, Attack	Earth Bond, Overpower		Guardian
Long Shot	1, 2, 3	0	1, 2, 3	3	Action, Arrow, Attack			Ranger
Looking for a Scrap	1, 2, 3	1	2, 3, 4	2	Action, Attack	Go again		Generic
Looming Doom	3	3		3	Action, Aura			Runeblade
Lord Sutcliffe				3	Mentor			Runeblade
Lord of Wind	3	0	2	3	Action, Attack	Katsu Specialization, Combo		Ninja
Lost in Thought	1	1		2	Action	Go again		Illusionist
Lumina Ascension	2	0		3	Light, Action	Boltyn Specialization, Go again		Warrior
Lumina Lance	2	0		3	Light, Attack Reaction			
Lunartide Plunderer	1, 2, 3	3	5, 6, 7	2	Shadow, Action, Attack			
Lunging Press	3	0		2	Attack Reaction			Generic
MHz Script	2	0			Action, Item	Crank		Mechanologist
Machinations of Dominion	3	0		3	Action	Go again		Runeblade
Macho Grande	1, 2, 3	7	10, 8, 9	3	Action, Attack	Dominate		Guardian
Madcap Charger	1, 2, 3	1	3, 4, 5	3	Action, Attack	Go again		Brute
Madcap Muscle	1, 2, 3	3	4, 5, 6	3	Action, Attack			Brute
Malefic Incantation	1, 2, 3	0		2	Action, Aura	Go again		Runeblade
Malign	1, 2, 3	0	1, 2, 3	3	Action, Attack	Stealth		Assassin
Mangle	1	4	8	3	Action, Attack	Crush		Guardian
Manifestation of Miragai	3	3			Instant, Aura	Ward X		Mystic, Illusionist
Mark of the Beast	2	2	6	3	Shadow, Action, Attack	Blood Debt		Brute
Massacre	1	3	6	3	Action, Attack	Intimidate		Brute
Master Cog	2				Resource, Gem	Legendary		Mechanologist
Maul	2	0		3	Attack Reaction			Ninja
Mauling Qi	1	1	5	3	Action, Attack	Combo		Ninja
Mauvrion Skies	1, 2, 3	0		2	Action	Go again		Runeblade
Maximum Velocity	1	2	10	3	Action, Attack			Mechanologist
Meat and Greet	1, 2, 3	1	2, 3, 4	3	Action, Attack	Go again		Runeblade
Mechanical Strength	1, 2, 3	3	3, 4, 5	3	Action, Attack	Evo Upgrade		Mechanologist
Medkit	3	0			Action, Item			Mechanologist
Meganetic Lockwave	3	XXX		3	Action	Go Again		Mechanologist
Meganetic Protocol	3	3	5	3	Action, Attack	Evo Upgrade		Mechanologist
Meganetic Shockwave	3	2	4	3	Action, Attack			Mechanologist
Melting Point	1	1		3	Action	Go again		Ranger
Memorial Ground	1, 2, 3	0			Instant			Generic
Mental Block	3			2	Block			Wizard
Merciful Retribution	2	4			Light, Instant, Aura	Spectra		Illusionist
MetEx	1, 2, 3	1	2, 3, 4	3	Action, Attack	Boost		Mechanologist
Micro-processor	3	2			Action, Item	Data Doll Specialization	Opt 1	Mechanologist
Mighty Windup	1, 2, 3	3	5, 6, 7	2	Action, Attack			Brute, Guardian
Mind Warp	2	0		3	Action	Surge		Wizard
Mind's Desire	1, 2, 3	0	1, 2, 3	3	Action, Attack	Stealth		Assassin
Mindstate of Tiger	3	0		3	Action, Aura			Ninja
Minerva Themis				3	Mentor			Warrior
Mini Forcefield	1, 2, 3	1			Action, Item	Crank, Ward X		Mechanologist
Minnowism	1, 2, 3	0		2	Action	Go again		Generic
Miragai			2		Draconic, Dragon, Ally			Illusionist
Miraging Metamorph	1	1	7	3	Action, Attack	Phantasm		Illusionist
Mischievous Meeps	1	1	2	2	Action, Attack	Go again		Generic
Mistcloak Gully		1			Instant, Landmark	Legendary, Transcend		Mystic
Money Where Ya Mouth Is	1, 2, 3	1		2	Action	Go again		Generic
Moon Chakra	1, 2, 3	0			Instant			Mystic, Illusionist
Moon Wish	1, 2, 3	2	3, 4, 5	2	Action, Attack			Generic
Moonshot	2	XX	3	3	Action, Attack	Overpower		Mechanologist
Mordred Tide	1	0		3	Action	Go again		Runeblade
Morlock Hill	3	0			Instant			Warrior
Mounting Anger	1, 2, 3	1	2, 3, 4	2	Draconic, Action, Attack	Go again		Ninja
Mugenshi: RELEASE	2	1	4	3	Action, Attack	Katsu Specialization, Combo, Go again		Ninja
Mulch	1, 2, 3	4	6, 7, 8	3	Elemental, Action, Attack	Earth Fusion		Guardian
Murkmire Grapnel	1, 2, 3	0	2, 3, 4	3	Action, Arrow, Attack			Ranger
Murky Water	1	2	6	3	Action, Arrow, Attack	Riptide Specialization, Dominate		Ranger
Muscle Mutt	2	3	6	2	Action, Attack			Generic
Mutated Mass	3	1	*	*	Shadow, Action, Attack	Blood Debt		
Nasty Surprise	3	0	2	3	Action, Attack			Generic
Nature's Path Pilgrimage	1, 2, 3	1		3	Action	Go again		Warrior
Nekria			4		Draconic, Dragon, Ally			Illusionist
Nerves of Steel	3	3		3	Action, Aura			Guardian
Never Yield	3	3		3	Action, Aura			Guardian
Nimble Strike	1, 2, 3	1	2, 3, 4	2	Action, Attack			Generic
Nimblism	1, 2, 3	0		2	Action	Go again		Generic
Ninth Blade of the Blood Oath	2	9	9	3	Action, Attack			Runeblade
Nix the Nimble	1, 2, 3	1	3, 4, 5	3	Action, Attack	Contract		Assassin
No Fear	1	0			Instant			Brute
Nock the Deathwhistle	3	0		3	Action	Azalea Specialization, Reload, Go again		Ranger
Northern Winds	3	0		2	Ice, Action	Oldhim Specialization, Unity, Freeze		
Nourishing Emptiness	1	2	6	3	Action, Attack	Dominate		Generic
Null // Shock	2	1			Instant, Lightning, Instant	Meld, Negate		Wizard
Numbskull	1	2	6	3	Action, Attack			Brute
